issue_description,category
Billing discrepancy noticed in the latest invoice.,billing
Duplicate charge detected on the credit card.,billing
Error in processing the monthly subscription payment.,billing
Refund request for a cancelled service.,billing
Unrecognized charge on the billing statement.,billing
Delay in issuing the refund for returned item.,billing
Clarification needed for the tax charges.,billing
Incorrect currency conversion rate applied.,billing
Request for a detailed breakdown of charges.,billing
Modification needed for the billing address.,billing
Unexpected service fee applied to the account.,billing
Monthly membership fee charged in error.,billing
Payment not reflecting in the account transaction history.,billing
Invoice not received for the previous month.,billing
Mismatch in the invoiced amount and service charges.,billing
Early termination fee incorrectly charged.,billing
Issues with setting up auto-pay feature.,billing
Subscription upgrade price differs from the quoted amount.,billing
Wrong payment method charged for recent transaction.,billing
Loyalty discount not applied to the invoice.,billing
Charges for additional services not requested.,billing
Request for extension in payment due date.,billing
"Credit card declined, need assistance to update payment info.",billing
Overbilled for the previous quarter's services.,billing
Difficulty accessing billing history online.,billing
Doesn't recognize the merchant name in billing details.,billing
Payment gateway error when attempting to pay online.,billing
Bank statement shows multiple deductions for a single service.,billing
Automatic renewal of subscription without notification.,billing
Request for a revised invoice reflecting adjustments.,billing
Invoice shows services not rendered.,billing
Inquiries about current promotions or discounts missed.,billing
Confusion regarding the installment payment plan.,billing
Issue with the conversion rates impacting total due.,billing
Errors in processing a chargeback request.,billing
Interest charges applied despite timely payment.,billing
Late fee assessed due to a system error.,billing
Billing cycle change not reflected in invoice.,billing
Discount code not accepted during checkout.,billing
Prepaid balance not deducting from total charges.,billing
Promotion promised by sales rep not applied.,billing
Fees for paused service period wrongly billed.,billing
Issue with the billing portal login credentials.,billing
Need confirmation for a partial payment arrangement.,billing
Credit balance not carried over to the new statement.,billing
Merchant has tailored the charge description unpredictably.,billing
Charges found for a subscription already cancelled.,billing
Discrepancy found between estimated and actual bill.,billing
Assistance needed to activate paperless billing.,billing
I was charged twice for my last purchase.,billing
The amount I was billed is different from what was advertised.,billing
My payment was declined even though I have sufficient funds.,billing
I can't find the receipt for my last transaction.,billing
My billing address needs to be updated.,billing
I was charged for a subscription I canceled.,billing
The tax calculation on my bill seems incorrect.,billing
I'm unable to view my billing history on the website.,billing
My refund for a returned item hasn't been processed yet.,billing
The promotional discount wasn't applied to my bill.,billing
"I received a late payment fee, but I paid on time.",billing
The exchange rate applied on my invoice is incorrect.,billing
I need a breakdown of charges on my recent bill.,billing
The payment plan I signed up for is not being honored.,billing
I received an invoice for a purchase I didn't make.,billing
The total amount on my bill doesn't match my order summary.,billing
I can't update my credit card information on my account.,billing
Why was there an annual fee charged to my account?,billing
I received a payment reminder for a bill I've already settled.,billing
I need to set up a payment arrangement for my outstanding bill.,billing
I was charged for an item that was canceled before shipping.,billing
I'd like to request an extension on my payment due date.,billing
I need help understanding the new charges on my account.,billing
The billing cycle for my account has changed without notice.,billing
The payment portal on the website is not functioning.,billing
I was not informed about the additional service charges.,billing
My credit card was incorrectly billed after I removed it.,billing
I have been invoiced for a service I never subscribed to.,billing
The amount debited from my account is incorrect.,billing
I need a copy of my last three months' billing statements.,billing
A partial payment I made hasn't reflected on my balance.,billing
I want to know why my service was suspended despite billing.,billing
My payment was marked as pending for too long.,billing
I am not receiving electronic copies of my bills anymore.,billing
I have been overcharged for international fees.,billing
I didn't receive a confirmation for my last payment.,billing
My bill includes a charge I did not authorize.,billing
The automatic payment feature is not working for me.,billing
I need to update my billing preferences.,billing
I was billed after deactivating my account.,billing
There is an unfamiliar charge on my credit card statement.,billing
The billing currency was suddenly changed on my invoice.,billing
I noticed a discrepancy in the service fee billed to me.,billing
I want to change my billing frequency from monthly to yearly.,billing
The payment receipt has not been emailed to me.,billing
My billing statement shows a discrepancy in my previous balance.,billing
I need an explanation for the increased service rate.,billing
Why did my bill include a processing fee this month?,billing
I'm receiving bills for an address I no longer reside at.,billing
Customer was charged twice for the monthly subscription.,billing
Invoice shows incorrect amount for the last purchase.,billing
Payment method was declined and order was not processed.,billing
Customer needs a refund for an incorrect transaction.,billing
Credit card expired and can't process payment.,billing
Can't update billing information in account settings.,billing
Discount code didn't apply at checkout.,billing
Overcharged for service upgrade.,billing
Subscription was cancelled but still received a charge.,billing
Need an invoice breakdown for last month.,billing
Can't view past invoices in account.,billing
Payment installment plan was not activated.,billing
Bank transfer was not reflected in account balance.,billing
Currency conversion error in billed amount.,billing
Billing address change not accepted by the system.,billing
Auto-renewal charge unexpected on annual subscription.,billing
Error message during payment process.,billing
Receipt not received via email.,billing
Partial refund requested for returned items.,billing
Credit card charge does not match the quoted amount.,billing
User was incorrectly billed for a free trial.,billing
Late fee applied incorrectly after on-time payment.,billing
Dispute a charge for services not rendered.,billing
Can't apply credit note to current invoice.,billing
System error preventing a new payment method setup.,billing
VAT not showing on digital receipt.,billing
Credit balance not deducted from purchase total.,billing
Duplicate charge for a single order.,billing
Recurring payment failed without notification.,billing
Tax was incorrectly calculated on invoice.,billing
Need to update direct debit details.,billing
Payment gateway not accepting international cards.,billing
Subscription fee increased without notice.,billing
Refund was processed but not received.,billing
Invoice missing from account overview.,billing
Customer wants a payment history report.,billing
Can't add promotional code to account for billing.,billing
Overage charges applied on unlimited plan.,billing
Error in applying corporate discount.,billing
Outstanding balance wrongly computed after payment.,billing
Transaction fees deducted without prior agreement.,billing
Customer wants to prepay for a full year rather than monthly.,billing
Family plan billing not reflecting additional member discount.,billing
Double billing after account merge.,billing
Cancelled service still appears as active for billing.,billing
Error in displaying currency on billing page.,billing
Payment reminder was not received on time.,billing
Charge on credit card is unrecognized.,billing
Membership fee auto-deducted after expiry.,billing
Billing discrepancy noticed in the latest invoice.,billing
Payment declined error during checkout process.,billing
Subscription renewal charged twice this month.,billing
Unable to update credit card information on file.,billing
Missing billing statement for the previous cycle.,billing
Incorrect billing address listed on recent invoice.,billing
Late fee applied despite timely payment.,billing
Billing account deactivated without notice.,billing
Unexpected charge for a service not requested.,billing
Want to change billing cycle from monthly to annually.,billing
Overcharged for services that are not utilized.,billing
Invoice not received via email as requested.,billing
Error message when trying to download billing statement.,billing
Request to refund for erroneous transaction on the account.,billing
Clarification needed on additional charges in the bill.,billing
Discount not applied as per promotional offer.,billing
Pending payment not reflecting in transaction history.,billing
Query about a recent charge on the credit card.,billing
Difficulty in accessing past billing summaries.,billing
Request for a breakdown of charges in the latest invoice.,billing
Refund not processed; pending for over a month.,billing
Duplicate billing issue detected in payment history.,billing
Automatic payments still deducting after service cancellation.,billing
Unsuccessful attempt to use a promo code during billing.,billing
Need assistance with setting up a direct debit.,billing
Taxes incorrectly calculated in the recent bill.,billing
Switching payment method but current option isn’t changing.,billing
Request to send paperless billing via electronic mail.,billing
Invoice incorrectly calculated; requires adjustment.,billing
Credit card expired; need help updating payment details.,billing
Request to issue a VAT invoice for recent purchases.,billing
Concerns about data security with stored payment information.,billing
Cannot view detailed transactions on online billing portal.,billing
Hourly rates in billing do not match initial agreement.,billing
Requesting extension on bill due date due to financial hardship.,billing
Recurring charge showing but subscription was cancelled.,billing
Chargeback processed without prior notification.,billing
Inability to split billing amongst multiple accounts.,billing
Request for adjustment due to billing system error.,billing
Query regarding international transaction fees.,billing
Billing notifications not received as per preference.,billing
Request to waive off late fee due to technical issue.,billing
Current balance incorrect after partial payment just made.,billing
Changes in plan not reflected in current billing.,billing
Ambiguity in charges for unused services.,billing
Difficulty retrieving company’s tax ID for billing purposes.,billing
Request to resend invoice with correct payment terms.,billing
Invoice does not match the quoted amount agreed upon.,billing
Mismatch in billing data between online and offline records.,billing
Customer charged twice for a single purchase.,billing
Invoice amount doesn't match the plan selected.,billing
Credit card declined during payment.,billing
Issue with applying a discount code.,billing
Missing payment confirmation email.,billing
Subscription auto-renewed despite cancellation.,billing
Request for refund on accidental purchase.,billing
Trouble accessing billing statements online.,billing
Payment method not updating in account settings.,billing
Overcharged for monthly subscription.,billing
Payment gateway error during checkout.,billing
Unauthorized transaction detected on account.,billing
Issue with prorated billing after plan change.,billing
Charged for add-on services not used.,billing
Requesting breakdown of current charges.,billing
Late fee applied without prior notice.,billing
Addressing a discrepancy in service tax.,billing
Subscription cancel confirmation missing.,billing
Incorrect billing cycle applied to account.,billing
Balance shows overdue despite timely payments.,billing
Credit card expired; need to update details.,billing
Billing address not verified during transaction.,billing
Recurring payment failed; account still active.,billing
Duplicate transaction charges observed.,billing
Billing support needed for corporate account.,billing
Account shows negative balance unexpectedly.,billing
Inquiry about payment plan upgrade options.,billing
Seeking clarification on surcharges applied.,billing
Help needed to understand promotional credits.,billing
Request for invoice copy for recent transaction.,billing
Issue with exchange rate on international payment.,billing
Assistance required for bank transfer payment.,billing
Cancellation fee charged incorrectly.,billing
Dispute a chargeback from credit card provider.,billing
Billing code error appearing on account dashboard.,billing
Request for VAT invoice for business expenses.,billing
"Refund issued, but not reflecting in account.",billing
Quarterly plan billing as monthly by mistake.,billing
Payment declined due to insufficient funds.,billing
Account locked due to repeated failed payments.,billing
Want to change billing frequency from monthly to yearly.,billing
Setup recurring payment reminder notifications.,billing
Clarification needed for bundled service charges.,billing
Requesting a payment receipt for paid invoice.,billing
"Payment method removed, but transaction still processed.",billing
Switching to a new payment processor; guidelines needed.,billing
Assistance required for setting up direct debit.,billing
Loyalty discount not applied to the invoice.,billing
Miscalculation in currency conversion rates.,billing
Customer was double charged for last month's subscription.,billing
Invoice #4578 was not received for the recent purchase.,billing
Requesting refund for a canceled order that was charged.,billing
Discrepancy found in the total amount billed in the invoice.,billing
Customer's credit card was charged without authorization.,billing
Failed transaction resulted in funds being held by the bank.,billing
Incorrect billing date set up for recurring payments.,billing
Need assistance in updating billing address on file.,billing
Unable to view current billing statement on the account.,billing
"Late fees were applied, but payment was made on time.",billing
Multiple payments were taken for a single order.,billing
Clarification needed on tax charges in the last invoice.,billing
Received a payment confirmation but no order was placed.,billing
Dispute over the incorrect subscription charges this month.,billing
Billing account shows charges for services not used.,billing
Request to change payment method for future billing.,billing
Subscription continued after cancellation request last month.,billing
Receipt for payment not received via email as requested.,billing
Amount billed does not match the initial quote provided.,billing
"Set up auto-pay, but payment fails to process monthly.",billing
Issue with applying promotional code during checkout.,billing
Duplicate invoice received for the same billing cycle.,billing
"Payment shows as failed, but account was debited.",billing
Incorrect currency conversion on international purchase.,billing
Recurring charge appeared after service cancellation.,billing
Unexpected fee added to the latest charge.,billing
Requesting payment history for the last 6 months.,billing
Overcharged for one-time service purchased last week.,billing
Desire to split payment over multiple credit cards.,billing
Discount offered wasn't applied to the final bill.,billing
Card decline error despite sufficient funds available.,billing
Invalid billing zip code error during purchase attempt.,billing
Payment gateway shows service unavailable error.,billing
Problem with invoice amount and applied discounts.,billing
Pending charge on statement yet service is unavailable.,billing
Loyalty points were to be used but were not applied.,billing
Charge appeared after assurance of no further payments.,billing
Issues with reverting accidental payment.,billing
Invoice sent contains incorrect customer details.,billing
Existing payment method validation failed unexpectedly.,billing
Need help understanding the partial payment balance.,billing
